
Host: asax028.asc.edu

Timers On : Tue Dec  3 15:08:32 2024
Timers Off: Tue Dec  3 15:09:06 2024

Wall Time:       34.23 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :      4.633u      0.000s      2.871w      2 calls
Libint2ERI::Libint2ERI              :      0.117u      0.000s      0.086w      7 calls
HF: Form core H                     :      0.033u      0.000s      0.035w      2 calls
HF: Form S/X                        :      0.000u      0.000s      0.019w      2 calls
HF: Guess                           :      0.083u      0.000s      0.071w      2 calls
SAD Guess                           :      0.083u      0.000s      0.053w      2 calls
HF: Form G                          :      0.100u      0.000s      0.050w     20 calls
JK: D                               :      0.000u      0.000s      0.000w     20 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     20 calls
JK: JK                              :      0.100u      0.000s      0.049w     20 calls
PK computes JK                      :      0.100u      0.000s      0.049w     20 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     20 calls
HF: Form F                          :      0.000u      0.000s      0.000w     20 calls
HF: Form D                          :      0.000u      0.000s      0.000w     20 calls
HF: DIIS                            :      0.517u      0.117s      0.964w     18 calls
HF: Form C                          :      0.017u      0.000s      0.015w     18 calls
trans_ints                          :      0.483u      0.133s      0.457w      1 calls
Trans (OV|OV)                       :      0.483u      0.133s      0.439w      1 calls
Sort chem -> phys                   :      0.000u      0.000s      0.006w      1 calls
Sort (OV|OV) -> <OO|VV>             :      0.000u      0.000s      0.006w      1 calls
Trans OEI                           :      0.000u      0.000s      0.000w      1 calls
Build Denominators                  :      0.000u      0.000s      0.004w      1 calls
T2(1)                               :      0.017u      0.033s      0.042w      1 calls
MP2 Energy                          :      0.017u      0.017s      0.023w      1 calls

--------------------------------------------------------------------------------------
Total PK formation time             :      4.633u      0.000s      2.871w      2 calls
| Libint2ERI::Libint2ERI            :      0.067u      0.000s      0.053w      4 calls
HF: Form core H                     :      0.033u      0.000s      0.035w      2 calls
HF: Form S/X                        :      0.000u      0.000s      0.019w      2 calls
HF: Guess                           :      0.083u      0.000s      0.071w      2 calls
| SAD Guess                         :      0.083u      0.000s      0.053w      2 calls
HF: Form G                          :      0.100u      0.000s      0.050w     20 calls
| JK: D                             :      0.000u      0.000s      0.000w     20 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     20 calls
| JK: JK                            :      0.100u      0.000s      0.049w     20 calls
| | PK computes JK                  :      0.100u      0.000s      0.049w     20 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     20 calls
HF: Form F                          :      0.000u      0.000s      0.000w     20 calls
HF: Form D                          :      0.000u      0.000s      0.000w     20 calls
HF: DIIS                            :      0.517u      0.117s      0.964w     18 calls
HF: Form C                          :      0.017u      0.000s      0.015w     18 calls
Libint2ERI::Libint2ERI              :      0.050u      0.000s      0.033w      3 calls
trans_ints                          :      0.483u      0.133s      0.457w      1 calls
| Trans (OV|OV)                     :      0.483u      0.133s      0.439w      1 calls
| Sort chem -> phys                 :      0.000u      0.000s      0.006w      1 calls
| | Sort (OV|OV) -> <OO|VV>         :      0.000u      0.000s      0.006w      1 calls
| Trans OEI                         :      0.000u      0.000s      0.000w      1 calls
| Build Denominators                :      0.000u      0.000s      0.004w      1 calls
T2(1)                               :      0.017u      0.033s      0.042w      1 calls
MP2 Energy                          :      0.017u      0.017s      0.023w      1 calls

**************************************************************************************

Host: asax028.asc.edu

Timers On : Tue Dec  3 15:09:07 2024
Timers Off: Tue Dec  3 15:09:08 2024

Wall Time:        1.79 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :      0.050u      0.000s      0.031w      2 calls
Libint2ERI::Libint2ERI              :      0.033u      0.000s      0.013w      7 calls
HF: Form core H                     :      0.017u      0.000s      0.017w      2 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      2 calls
HF: Guess                           :      0.033u      0.017s      0.029w      2 calls
SAD Guess                           :      0.033u      0.017s      0.027w      2 calls
HF: Form G                          :      0.000u      0.000s      0.001w     18 calls
JK: D                               :      0.000u      0.000s      0.000w     18 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     18 calls
JK: JK                              :      0.000u      0.000s      0.001w     18 calls
PK computes JK                      :      0.000u      0.000s      0.001w     18 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     18 calls
HF: Form F                          :      0.000u      0.000s      0.000w     18 calls
HF: Form D                          :      0.000u      0.000s      0.000w     18 calls
HF: DIIS                            :      0.450u      0.033s      0.355w     16 calls
HF: Form C                          :      0.000u      0.000s      0.005w     16 calls
trans_ints                          :      0.000u      0.000s      0.095w      1 calls
Trans (OV|OV)                       :      0.000u      0.000s      0.087w      1 calls
Sort chem -> phys                   :      0.000u      0.000s      0.000w      1 calls
Sort (OV|OV) -> <OO|VV>             :      0.000u      0.000s      0.000w      1 calls
Trans OEI                           :      0.000u      0.000s      0.000w      1 calls
Build Denominators                  :      0.000u      0.000s      0.000w      1 calls
T2(1)                               :      0.000u      0.000s      0.015w      1 calls
MP2 Energy                          :      0.000u      0.000s      0.015w      1 calls

--------------------------------------------------------------------------------------
Total PK formation time             :      0.050u      0.000s      0.031w      2 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.008w      4 calls
HF: Form core H                     :      0.017u      0.000s      0.017w      2 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      2 calls
HF: Guess                           :      0.033u      0.017s      0.029w      2 calls
| SAD Guess                         :      0.033u      0.017s      0.027w      2 calls
HF: Form G                          :      0.000u      0.000s      0.001w     18 calls
| JK: D                             :      0.000u      0.000s      0.000w     18 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     18 calls
| JK: JK                            :      0.000u      0.000s      0.001w     18 calls
| | PK computes JK                  :      0.000u      0.000s      0.001w     18 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     18 calls
