
Host: asax029.asc.edu

Timers On : Tue Dec  3 15:12:11 2024
Timers Off: Tue Dec  3 15:12:36 2024

Wall Time:       24.96 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :      6.833u      0.083s      1.234w      2 calls
Libint2ERI::Libint2ERI              :      0.333u      0.033s      0.154w     12 calls
HF: Form core H                     :      0.250u      0.000s      0.050w      2 calls
HF: Form S/X                        :      0.100u      0.000s      0.018w      2 calls
HF: Guess                           :      0.417u      0.050s      0.069w      2 calls
SAD Guess                           :      0.383u      0.050s      0.062w      2 calls
HF: Form G                          :      0.633u      0.017s      0.101w     20 calls
JK: D                               :      0.017u      0.000s      0.000w     20 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     20 calls
JK: JK                              :      0.600u      0.017s      0.099w     20 calls
PK computes JK                      :      0.600u      0.017s      0.099w     20 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     20 calls
HF: Form F                          :      0.000u      0.000s      0.000w     20 calls
HF: Form D                          :      0.000u      0.000s      0.000w     20 calls
HF: DIIS                            :      1.933u      0.117s      0.905w     18 calls
HF: Form C                          :      0.133u      0.000s      0.017w     18 calls
trans_ints                          :      1.483u      0.183s      0.551w      1 calls
Trans (OV|OV)                       :      1.400u      0.167s      0.525w      1 calls
Sort chem -> phys                   :      0.017u      0.017s      0.009w      1 calls
Sort (OV|OV) -> <OO|VV>             :      0.017u      0.017s      0.009w      1 calls
Trans OEI                           :      0.000u      0.000s      0.000w      1 calls
Build Denominators                  :      0.033u      0.000s      0.005w      1 calls
T2(1)                               :      0.533u      0.067s      0.108w      1 calls
MP2 Energy                          :      0.350u      0.033s      0.071w      1 calls

--------------------------------------------------------------------------------------
Total PK formation time             :      6.833u      0.083s      1.234w      2 calls
| Libint2ERI::Libint2ERI            :      0.183u      0.017s      0.131w     10 calls
HF: Form core H                     :      0.250u      0.000s      0.050w      2 calls
HF: Form S/X                        :      0.100u      0.000s      0.018w      2 calls
HF: Guess                           :      0.417u      0.050s      0.069w      2 calls
| SAD Guess                         :      0.383u      0.050s      0.062w      2 calls
HF: Form G                          :      0.633u      0.017s      0.101w     20 calls
| JK: D                             :      0.017u      0.000s      0.000w     20 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     20 calls
| JK: JK                            :      0.600u      0.017s      0.099w     20 calls
| | PK computes JK                  :      0.600u      0.017s      0.099w     20 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     20 calls
